lineup,minutes,points_scored,2_pointers_made,3_pointers_made,free_throws_made,assists,rebounds,blocks,steals,turnovers,fouls,points_allowed
1628371_1628411_201571_202696_203095,109.28,270.0,76,28,34,60,246,17,20,59,36,239.0
1628371_201571_202696_203082_203095,161.42,376.0,108,36,52,90,384,20,23,100,62,342.0
1628371_201571_202696_203095_203932,875.2,1959.0,578,189,231,498,1977,94,132,616,267,1883.0
1628372_1628467_1717_202083_203084,270.88,529.0,149,60,51,126,606,23,25,182,83,617.0
1628372_1629029_201599_202083_203084,412.08,854.0,217,90,150,169,977,26,56,320,159,912.0
1628378_200757_201937_202324_204060,125.22,286.0,79,34,26,72,253,13,24,91,51,278.0
1628378_201937_201973_202324_204060,173.32,357.0,98,42,35,90,352,8,40,155,81,360.0
1628378_201937_202324_203497_204060,955.23,2108.0,624,203,251,525,2202,101,174,786,345,1940.0
1628378_201937_203109_203497_204060,672.68,1696.0,391,187,353,361,1575,81,124,499,323,1437.0
1628379_201933_202704_203083_203493,108.3,254.0,76,21,39,55,253,9,9,63,43,250.0
1628380_202323_202334_203468_203894,128.65,247.0,85,15,32,41,282,6,19,87,48,272.0
1628380_202323_203086_203552_203917,196.18,422.0,110,53,43,97,470,13,19,138,76,414.0
1628381_1628989_1629027_203145_203473,148.6,339.0,84,43,42,86,357,12,28,146,72,341.0
1628384_200768_201586_201942_202685,802.15,1874.0,505,203,255,428,1815,88,105,560,329,1701.0
1628390_201566_202331_203500_203924,928.98,2270.0,645,232,284,511,2244,78,180,740,422,2073.0
1628390_201566_202331_203500_2546,236.23,546.0,162,55,57,121,560,22,31,178,97,561.0
1628390_201566_203471_203500_203924,186.67,449.0,127,47,54,103,442,15,31,129,76,447.0
1628390_202331_203471_203500_203924,142.22,355.0,92,37,60,70,310,11,29,111,59,285.0
1628398_1628404_201147_203903_203944,112.38,240.0,74,16,44,46,276,10,12,102,48,250.0
1628411_201571_202696_203095_203932,203.08,475.0,144,46,49,126,436,21,30,139,78,447.0
1628418_201145_203078_203107_2772,357.12,858.0,220,102,112,217,779,22,54,250,119,863.0
1628425_201572_202339_203114_203507,130.08,290.0,86,27,37,63,310,24,13,72,52,333.0
1628467_1629029_201599_202083_203084,104.62,241.0,55,27,50,49,245,15,10,69,36,226.0
1628971_201933_201961_202704_203083,288.8,646.0,140,93,87,132,664,29,50,216,116,629.0
1628971_201933_202704_203083_203493,309.18,721.0,171,97,88,160,674,28,41,235,114,624.0
1628973_1629029_201599_202083_203084,197.52,467.0,100,61,84,91,461,14,27,133,71,477.0
1628991_201144_201188_202066_203937,463.97,949.0,277,93,116,247,1012,72,89,372,177,869.0
1713_201144_201188_203210_2754,165.55,377.0,85,49,60,87,359,17,28,111,65,319.0
1938_200746_201988_202695_2200,123.8,299.0,85,25,54,73,273,11,19,93,45,297.0
200746_200752_201158_201942_201988,135.85,304.0,81,30,52,65,321,12,13,78,48,287.0
200746_201158_201942_201988_202722,109.3,266.0,72,23,53,44,249,11,11,57,53,268.0
200746_201980_201988_203937_2200,158.03,332.0,99,32,38,90,377,23,20,94,41,306.0
200746_201980_202695_203473_2225,256.58,498.0,167,28,80,103,577,37,47,193,85,472.0
200746_201980_202695_2200_2225,446.15,966.0,307,77,121,234,973,64,61,282,130,907.0
200746_201980_203937_2200_2225,110.28,248.0,83,20,22,63,222,11,24,81,30,200.0
200752_201167_201585_201951_202326,144.63,299.0,90,21,56,63,325,10,25,87,55,293.0
200755_201599_201601_201933_203085,130.6,284.0,74,36,28,70,295,7,25,96,57,281.0
200757_200794_203145_203471_2730,425.28,853.0,269,56,147,189,981,44,82,340,159,888.0
200757_200794_203471_203501_2730,125.08,304.0,87,31,37,75,270,15,31,99,31,247.0
200765_201577_201959_202710_2548,390.38,834.0,312,31,117,204,861,51,63,288,122,830.0
200765_201950_202326_202734_203076,407.88,934.0,295,78,110,251,896,51,67,336,126,930.0
